岗位名称,岗位详情地址,薪资,公司名称,工作地点,经验要求,学历要求,岗位描述,公司融资情况,公司人数,公司行业,福利待遇
数据分析--线上兼职,https://www.zhipin.com/job_detail/66246ae640b36a711X192Ny8EFRU.html?lid=584LjSKRAgW.search.1&securityId=JXhcbPJdjGUH--01QMArcY2a2Z-ZUNOsCuBoJQicYHl-qllscYzKh58F6VWm3ta7ZJTZdEPDjvkysNU_nz4M9V2AtPZHR-TpdiOsfIst7Yxixq-wt6yo&sessionId=,6-10K,广州市增城绿状园...,广州,1-3年,大专,Python Power BI SPSS 数学/统计相关专业 计算机相关专业 数据分析/挖掘经验 excel vba,,0-20人,批发/零售,
数据分析师,https://www.zhipin.com/job_detail/e50d14b516f2130a1XV62tS4EFFR.html?lid=584LjSKRAgW.search.2&securityId=LBB5sOBJQtRB1-m1JmM1sWP7ELPumaDQ25RmcZhGtbcMFbuD9MjPhAl3UkGFMavQRArbK39zbuuM4ZEfixHqDw-0RRwNiudkIWEGPUJrXCCmPJJbVg~~&sessionId=,5-6K,圆丰通,广州,1-3年,大专,Python SQL Excel Pandas,未融资,20-99人,财务/审计/税务,全勤奖 年终奖 带薪年假 员工旅游 餐补 交通补助 节日福利 零食下午茶
数据分析助理,https://www.zhipin.com/job_detail/d43256f2e2e690d21XF63t-0EFBU.html?lid=584LjSKRAgW.search.3&securityId=ohN0IQSa-vzxR-q1H8iHdIebkByMzsqNFQsMmcZoQXTuSuhG4InP9613bIinujgHF2fzoSsuWY6lweJvL-kIQ8SU_jZDWjFEHxase4nMn1S8tYM6jBIO&sessionId=,4-7K,广州市微咨精博公司,广州,1年以内,大专,数学/统计相关专业 数据分析/挖掘经验,未融资,20-99人,其他服务业,
抖音数据分析师,https://www.zhipin.com/job_detail/1ea91e3d2b9195e81HR_09-9FFNR.html?lid=584LjSKRAgW.search.4&securityId=3cYygbqyRh4Qj-Y1g9mu9CO0_swZyps1ws6zqj2kFjShnuN8t3ns2pmpV6cVut3wtPVfUB3F6t98rdKSSn8EDFosbE7Kdq81NCacXoeTIbl48MU5Qew~&sessionId=,8-12K,卓娃,广州,经验不限,学历不限,数学/统计相关专业 计算机相关专业,未融资,20-99人,服装/纺织/皮革,加班补助 全勤奖
双休-数据分析专员-电商,https://www.zhipin.com/job_detail/0c2f56a70b8dd1011HR829W_GFZX.html?lid=584LjSKRAgW.search.5&securityId=UYLMYz0xuKsbi-N16sns_hDYN6HnYpXiW9JkKZj9zS9LWMJVM48Blu6-jqu_BjidYXPbkZAl7SOBMiV-qm5wrzjPOSgy7l4--ZdchHL_xgcs5ow60RQ~&sessionId=,7-9K·13薪,得莱卫浴,广州,1-3年,大专,数据分析/挖掘经验 数据分析运营 亚马逊数据汇总 部门经理助理,未融资,100-499人,电子商务,五险一金
数据分析,https://www.zhipin.com/job_detail/010c7e9a2c1376361XNz0920FlRZ.html?lid=584LjSKRAgW.search.6&securityId=F2PFTuj5nuoRx-51MyA3bgmO6OdgqOxQHkwSSgSh9-9ab09-2-5URK740jIaerkXkMJ7pm3WmJwEDocSSdSgqbdrCb20TLhOQn3ot46R_D3e2Sgc&sessionId=,7-12K,安络科技,广州,1-3年,大专,Python 数学/统计相关专业 数据分析/挖掘经验,B轮,100-499人,信息安全,五险一金 补充医疗保险 定期体检 全勤奖 年终奖 股票期权 带薪年假 员工旅游 餐补 交通补助 节日福利 生日福利 生育礼金 婚嫁礼金 活动经费 股权激励
数据分析,https://www.zhipin.com/job_detail/9d1078038da5a5651HR82tu4FlpV.html?lid=584LjSKRAgW.search.7&securityId=HamA8nBecarJx-w16tmIlundNNgHrvY6D3vBciQXLPVryZfD8DOpBEEOfYKmA49P5wPskC0xBGL9QvrDmJhOCAS55fb0Mk7G27UXmnUgNz6ZZBULQ_0~&sessionId=,5-8K,粤时代文化传媒,广州,1-3年,大专,Python R SQL 数学/统计相关专业,未融资,20-99人,广播/影视,全勤奖 带薪年假 员工旅游 零食下午茶 团建聚餐 节日福利 生日福利
FineBI数据分析师(兼职),https://www.zhipin.com/job_detail/7d006d563ddfba461XFy3961E1tX.html?lid=584LjSKRAgW.search.8&securityId=sdDbwvae59Dh--D1aPe3OMY7k4dJn6Fd4yecJ6NO1w_xriVULZqr2y5wzvLF8y2XYIfQ9CmQMYufSPsky7JKtkpWkdWyXG1yCYfNcAWx5vXDKKyPkqc~&sessionId=,10-15K,麦东信息技术,广州,1-3年,大专,finebi 数据分析可视化,未融资,0-20人,计算机软件,
数据分析（应届生）,https://www.zhipin.com/job_detail/4ea8d87f49cf221f1HR-2tS8FVVY.html?lid=584LjSKRAgW.search.9&securityId=VLppKe6J5PHYA-n16ux2kL_Z0FnAmPuw8g-T_xpzID59ndr2cP-dOasT92A8y6EFH4HwF5-AFGxKwm50tPc3mD41WiZ4V-RkHEGOj3rLHMAa8yE4lOP9&sessionId=,5-6K,乐享瘦,广州,经验不限,本科,SQL Tableau 数学/统计相关专业 计算机相关专业 数据分析/挖掘经验,未融资,20-99人,其他服务业,团建聚餐 零食下午茶 员工旅游 带薪年假 定期体检 五险一金
数据分析师（周末双休）,https://www.zhipin.com/job_detail/672f833efcd691e81nJ83dS7FlJW.html?lid=584LjSKRAgW.search.10&securityId=4efVLMRGGKxNq-E1h8Bc46ZhwQ8GYPSyyu7ciivL9lLLpEs7lYQDLUqkm2XfPigjHYcUQBA07EF8PwK8MJQbm-UZoFIwcdEP44SB7xhK2DkQsNXd-A~~&sessionId=,5-10K,云养邦,广州,1-3年,大专,Excel 数据分析师 数据分析 数据统计 数据挖掘 数据 分析,未融资,20-99人,电子商务,生日福利 节日福利 零食下午茶 餐补 带薪年假 工龄奖 加班补助 年终奖 五险一金 弹性工作 周末双休 午休2小时
设计部数据分析师,https://www.zhipin.com/job_detail/d736d9ce9fa376701XJz2dq-FVVV.html?lid=584LjSKRAgW.search.11&securityId=tv6HDScS_1cGn-81p-w9jjbzlOyliheZEBjHQat4hnp3hqLiSH8iEPiCxSOgoJ8ppwQF559mnGDOpvTaXsZNTFieFSQyi3qtX2FxomdsZh5PzNFGM1Yz&sessionId=,8-11K,偏爱服饰有限公司,广州,1-3年,大专,Excel SQL Python,未融资,100-499人,服装/纺织/皮革,补充医疗保险 全勤奖 员工旅游 通讯补贴 节日福利 五险
数据分析专员,https://www.zhipin.com/job_detail/5c8f21a2b3cc1c511X1_3dm_EVZS.html?lid=584LjSKRAgW.search.12&securityId=aamorOgvP0brA-q13mIz0jTMlxMLP1y82u_XIj7dfe6OQeolkSJkwgzh4QEgjwWNS6BQK-O_ZXL7NySt2EXX5btKwX1MuqTlhQ653m8443b3BKnK&sessionId=,6-9K,德伦口腔,广州,经验不限,大专,SPSS SAS SQL 数学/统计相关专业 计算机相关专业 数据分析/挖掘经验,已上市,1000-9999人,医疗健康,五险一金 带薪年假 节日福利 定期病例分享 年度峰会论坛 专家会诊
大数据分析师,https://www.zhipin.com/job_detail/9489ab9a61e21daf1X1z29W7EVJZ.html?lid=584LjSKRAgW.search.13&securityId=VtZfXLCd6hKn1-k1_eiM7Tvgr4oMj30CaAx72qVbojONm-zcJKwOIJfpZTTszc0CJPaCiu_kvFu1tZW8dVZupgYgnAaROi457PDsK_AA0V30UCPEHFtk&sessionId=,5-8K,麦捷广告传媒,广州,1-3年,大专,SQL Power BI Python 数据分析/挖掘经验 BI平台建设 竞品分析 秒针,未融资,100-499人,媒体,生日福利 节日福利 团建聚餐 零食下午茶 带薪年假 全勤奖 年终奖 五险一金
数据分析师,https://www.zhipin.com/job_detail/efaecd6d5deccc401X1y39y7FFNQ.html?lid=584LjSKRAgW.search.14&securityId=pgn1D2orAcFU7-a1oCKIhquFPpZRtVtitgu8ZMkbkyg0q3kkE_XS3hsTPWiUDaWW5Kf1s5Lc2WcUaObHDGnm-rew5gar7EBRSdXEjPvvtfXf0ACZ3ho~&sessionId=,4-5K,花开几叶,广州,1-3年,大专,数学/统计相关专业,未融资,20-99人,餐饮,生日福利 节日福利 有无线网 团建聚餐 零食下午茶 员工旅游 全勤奖 节假日加班费 底薪加提成
数据分析师,https://www.zhipin.com/job_detail/54fbf4fa7a67f26b1HR-29u8EVZZ.html?lid=584LjSKRAgW.search.15&securityId=59Lt6wBoRN-WI-c1vopVdXF9GnBZg24VBLagPaJmMJXMs1o6h35N6-C9wC0LQ20SJcH7psPk7W2OnPzhuZ_VOBaFuCwefP4JjoO9MgF5uNNTzyYE5wE~&sessionId=,8-12K,广州珺燊教育,广州,1-3年,本科,SQL Python SAS 计算机相关专业 数据分析/挖掘经验 机器学习建模经验,B轮,500-999人,培训机构,生日福利 节日福利 团建聚餐 零食下午茶 员工旅游 带薪年假 工龄奖 加班补助 保底工资 绩效奖金 年终奖 五险一金
数据分析兼助理,https://www.zhipin.com/job_detail/af4fbf1bef2ae93f1X192tu9FlFX.html?lid=584LjSKRAgW.search.16&securityId=3W6UydMBRupMU-V1YHDIBtBy0aJXtRUeWT-d9f-Oz5yDczpXiD1FlRel7-57tzIMnaWPpHTB_RNnhnsMNjnNnIRVh6Ui2taVMM4Nr6FkfU8GU3iawWE~&sessionId=,6-8K,赵一鸣零食,广州,1-3年,大专,运营助理,A轮,1000-9999人,批发/零售,交通补助 生日福利 节日福利 高温补贴 有无线网 住房补贴 宿舍有空调 包住 团建聚餐 零食下午茶 餐补 包吃 全勤奖 股票期权 绩效奖金 年终奖 五险一金 员工食堂 员工宿舍
数据分析师(不对接业务),https://www.zhipin.com/job_detail/8a4c0d317f386ade1X180960EVNR.html?lid=584LjSKRAgW.search.17&securityId=XJtXkImOAFBFf-U1MpAKnM76x8tw3muq9NQi3-JGJp1Y3pVsE-KGIHfZNmKyPf5JdiyCcPzCmxgRjVMbMRMGqAHkkeX5fwB1EW4VNC8Rh900JqFI5S6J&sessionId=,12-15K·13薪,百度,广州,1-3年,本科,SQL Python 数据分析/挖掘经验,已上市,10000人以上,互联网,五险一金 补充医疗保险 定期体检 加班补助 年终奖 带薪年假 员工旅游 免费班车 餐补 通讯补贴 交通补助 节日福利 住房补贴 零食下午茶 娱乐健身
大数据分析助理,https://www.zhipin.com/job_detail/3e1fd3c304a385901HR63d24EldU.html?lid=584LjSKRAgW.search.18&securityId=EG41kiemAMDEg-n1qA5-gS6FysQoJeSgLWwqPqwJxhw3Bgz9igPZsj581oPQ4kqN7lCJl0GTPfhNW76qKld_2VImGpLod6RPpMeVU9SRNiK-omd09g~~&sessionId=,6-11K·13薪,信安数据,广州,1-3年,硕士,机器学习建模经验 回归分析 数据分析/挖掘经验 多元统计分析 决策树 聚类分析 数学/统计相关专业 Python SQL,A轮,100-499人,数据服务,零食下午茶 节日福利 通讯补贴 带薪年假 年终奖 定期体检 五险一金
数据分析师 外企氛围好 sql+pbi,https://www.zhipin.com/job_detail/1b7fb9d456b416ac1HR509u5EVJU.html?lid=584LjSKRAgW.search.19&securityId=83HAZZa94CXFH-r1SY3ToiWduVBdU9JlDpdUDE0gjRbVF-v_1TvY9P-6L3xiUgZBWAFZ1v3UlhuyN4Y3xRc7RZS6WfdugEsG62BW3aA9tqxCZFEtyEk~&sessionId=,9-10K,中电金信,广州,3-5年,大专,SQL 电商/零售行业数据相关经验 数学/统计相关专业,B轮,10000人以上,计算机软件,节日福利 定期体检 补充医疗保险 五险一金
数据分析专员（消费品牌）,https://www.zhipin.com/job_detail/a43b6d7cdeebd0501HR_3N-0EFtS.html?lid=584LjSKRAgW.search.20&securityId=D3GIahH0NXNGQ-31jD2aKyDKlD3k9VPzyzFZ7H_JQ-3dKUloP4Wt-k4kzDuW7oIDYhEq-gD-hZuz0Ptg6gUXvN8elhLB9pp_LfES4kP1ohMb3PkKSDs~&sessionId=,8-10K,季岚朵,广州,1-3年,大专,数据分析/挖掘经验,未融资,20-99人,日化,五险 年终奖 加班补助 全勤奖 带薪年假 员工旅游 零食下午茶 节日福利
数据分析师,https://www.zhipin.com/job_detail/431f416d65307b3a1HR_39m9F1dR.html?lid=584LjSKRAgW.search.21&securityId=BKP6mu3Pv0AJE-t1Z8qot-rEyH-w9_r1X9fVN9DlnlrZ7gXEbBMRvJ7ZshuXKWQOalLTCavvX59nlhPaIK0vZO1jm1dSu9aK6_WEG3DApLRgLruVPao~&sessionId=,8-12K,妮妲服装,广州,1-3年,大专,Python R Power BI 数学/统计相关专业 计算机相关专业 电商/零售行业数据相关经验,不需要融资,100-499人,服装/纺织/皮革,
【2024校招】数据分析,https://www.zhipin.com/job_detail/92b5d3a28f7b8dd91HR-0t--E1RW.html?lid=584LjSKRAgW.search.22&securityId=6MA7AwcbzYITC-r1yPVbDVHwkqt-j60H9Pi3ytZ0PVF0qqXpCLL_68_d7o4UrLgGrb7OsI8TscIAotEramEM9PM6eOUFa5nZm4aKHHxIfS5_II4~&sessionId=,15-25K·13薪,某500强上市公司,广州,经验不限,本科,游戏,,,,五险一金 定期体检 全勤奖 年终奖 带薪年假 餐补 包吃 节日福利 零食下午茶
数据分析师,https://www.zhipin.com/job_detail/2474a6ad82c83b6f1HR53tu7F1BY.html?lid=584LjSKRAgW.search.23&securityId=3Dc2BtDtfuFwP-o1iXmWAo8Er31GWbyf7SUgvg9lNC9gZmajtvsDZrUC-YDaqsihWV6UlTgFIto_jNCObZZsnPa9dwySD7gzAtb_gkL88EFbkhEkdGp2&sessionId=,4-9K,广州市唯喜皮具,广州,1-3年,大专,数据分析/挖掘经验 电商/零售行业数据相关经验 数学/统计相关专业 美术 时尚,不需要融资,20-99人,电子商务,五险 团建聚餐 零食下午茶 全勤奖 底薪加提成 保底工资 绩效奖金 年终奖
数据分析师（SQL+电商行业背景）,https://www.zhipin.com/job_detail/e2c0dfcdded1b57e1HR73960ElpZ.html?lid=584LjSKRAgW.search.24&securityId=3HaSd76x8cXVI-M1L2y7IeCRIC2Ivlw25zC_hDsoX2R7QMv1LL86ipYVLZZNRZjceOwZrPdmtPpYySd0OivQNOni5yAsbLqkBlN7WzNIDLacoxs~&sessionId=,9-14K,棒谷科技,广州,1-3年,本科,SQL Python Power BI 数学/统计相关专业 数据分析/挖掘经验 电商/零售行业数据相关经验,不需要融资,1000-9999人,电子商务,五险一金 带薪年假 员工旅游 节日福利
数据分析专员/数据分析师,https://www.zhipin.com/job_detail/2f014f5a7be965971nd729u_FFdZ.html?lid=584LjSKRAgW.search.25&securityId=C9nR1Ew3URQBe-f183_En3aHwpsi-rKDUVAV_TFEqamlrFf8gXA3JOydcvI7fUGfyF1R1E4ZZHb8lNGCYngPdky8icKcOG3DSk15Ll6GS0kcCg7kxnY~&sessionId=,5-7K,中准广东分所,广州,经验不限,本科,计算机相关专业 数据分析/挖掘经验 Python SQL Java 软件工程师,不需要融资,100-499人,财务/审计/税务,五险一金 带薪年假 节日福利
数据分析师（不内卷、氛围nice）,https://www.zhipin.com/job_detail/e69da37220f6055f1XF_2960FFVZ.html?lid=584LjSKRAgW.search.26&securityId=NRIzCPeil7KXn-11mb6KAmh2hEDQ445H9dX2IwMeGGZHhjfpChVWwwMIQLnRz3RUpoL9U2QA9GTnY2qeve2n9d5_MjAZqReetgUDg0Mx9bHyhSQ~&sessionId=,8-12K,中软国际,广州,1-3年,本科,数据分析 MySQL Hadoop 数学/统计相关专业 SQL Python,已上市,10000人以上,计算机软件,五险一金 定期体检 加班补助 年终奖 带薪年假 员工旅游 免费班车 餐补 节日福利 零食下午茶
python数据分析工程师,https://www.zhipin.com/job_detail/1ec6bac990d6d9861HR82ti9FlRT.html?lid=584LjSKRAgW.search.27&securityId=7N1RrP9SewAZ7-_1LoYG7tGiQ8b_g98o6mh333khx2Zn3M-xTiH8VzgAw6o4ZxUq2MD9NDHDJT_nDM3XHtW7uXFLqvM4a0SfT-jBnQOlGi3G2IHfKDFU3k3uT4rnLUaIkzT8-ebTyQy-_OtjBFf1ymIC&sessionId=,10-11K,广州市番禺区派达...,广州,1-3年,本科,SQL Python MATLAB 数学/统计相关专业 计算机相关专业 数据分析/挖掘经验,,0-20人,计算机软件,
数据分析师,https://www.zhipin.com/job_detail/d0d60a00cfc7917b1nxy2dS8ElZY.html?lid=584LjSKRAgW.search.28&securityId=hdY1DBP0RYvfN-P1NNMmASA1fcI7iDw9oPDHbPj_QftQlpztqFB5u5XB2iYgfsurPDefdc-bsnJhEYHUNcqAOYyExVlfrbsiNxrUn72iroa7dwKz&sessionId=,13-16K·13薪,法本,广州,3-5年,大专,Python SQL Oracle Tableau Hive kettle,已上市,10000人以上,计算机软件,五险一金 定期体检 加班补助 全勤奖 年终奖 带薪年假 员工旅游 节日福利 零食下午茶 企业文化
双休-急招亚马逊广告工程师/数据分析师,https://www.zhipin.com/job_detail/c6de2213ef0241bc1HR63Ni0ElJX.html?lid=584LjSKRAgW.search.29&securityId=yuZCTldJTA6TE-T1R0wpcBG7Be3Nvqo71Gvaq-tiefokW2QKIEn8VMajZWg9vSQKMqArpfI8DiU7kOnBs13Pnho9cgHW8oB4bq7th_eqQ_atgiIf&sessionId=,10-15K·13薪,广州盛为电子,广州,1-3年,本科,SQL Python 计算机相关专业 数学/统计相关专业 数据分析/挖掘经验 亚马逊数据分析师 亚马逊数据工程师 周末双休年底双薪,未融资,100-499人,电子商务,全勤奖 年终奖 餐补 交通补助 节日福利 住房补贴 零食下午茶
数据分析师,https://www.zhipin.com/job_detail/add421ae35ae17ae1HR_29--GVVR.html?lid=584LjSKRAgW.search.30&securityId=AZyllczWc9gwS-d1hKhTqWB6h9p-dBRxkQgc3uH9fu70so1A1CN79opUuA2Dkcde5EArb6kaGQ27OzIrHhDio_o1o5VkEFwNtu7DcLpaiWmPX6HOm67F&sessionId=,5-9K,骏达国际,广州,1年以内,大专,电商/零售行业数据相关经验 数据分析能力 电商数据分析师,未融资,20-99人,贸易/进出口,有无线网 带薪年假 保底工资 年终奖 五险一金
Python数据分析师,https://www.zhipin.com/job_detail/90824fe42a448f2f1Xd62tm0EVNR.html?lid=584LjSKRAgW.search.31&securityId=Uyw7GYeyxEJoG-c1VX5BYB3cifU6OvyR5bpk75WMGnegpFn0KQxdZRyaZzW-YytleBa6GvC6iMfgi6UQEHsmm1fEDgYXZDkrwhDSh9SARtPh-mPi90o~&sessionId=,7-12K,师创智大,广州,1-3年,大专,Python SQL Pandas,未融资,1000-9999人,培训机构,五险一金 补充医疗保险 定期体检 年终奖 带薪年假 员工旅游 节日福利 零食下午茶
数据分析师,https://www.zhipin.com/job_detail/2d8d96377aa60fdd1nJy29y5GFtZ.html?lid=584LjSKRAgW.search.32&securityId=UWQ0eNlf2r-cA-j1_dVZBMOHuFcZSMfjy7vYuqgxVhcvJ7bA-Mg9kMVonuvtJK-Z4QHmo1K4s9L-PpxCOZyYXapZFIq4GKc0FS2ymMl_h5CS-BRncCcJ&sessionId=,5-8K,新讯数字科技有限公司,广州,经验不限,大专,SQL Excel,不需要融资,1000-9999人,通信/网络设备,交通补助 生日福利 节日福利 通讯补贴 住房补贴 餐补 带薪年假 股票期权 绩效奖金 年终奖 定期体检 意外险 五险一金
数据分析师6k(理解能力强者优先考虑),https://www.zhipin.com/job_detail/2e0cac2629a3d55e1HR-3d-5E1ZT.html?lid=584LjSKRAgW.search.33&securityId=Hlktjt50mvIU9-U1oNXG4C-yddRhI1b9Sf6NFcexXht-0uexCtQf_X-E_VZVlb6_K3WRk2WXsMXJsLzevQx8u1xbNbNCxrlwWfXIEKdUP1_eJlW8dg~~&sessionId=,4-8K,广州创越,广州,经验不限,大专,Hive 计算机相关专业 文娱/游戏行业数据相关经验 可以接受无经验 头脑灵活 有上进心,未融资,0-20人,游戏,定期体检 全勤奖 股票期权 餐补 节日福利 住房补贴 零食下午茶 员工旅游
数据分析专员,https://www.zhipin.com/job_detail/bc2b8873380912291X1_2Ni0E1RX.html?lid=584LjSKRAgW.search.34&securityId=1pm6sARtrly2h-S1frJzOusnRsWVoKBYJtlnBiDn9j8JX5ZeJ2oAMkxCemP_BsvLMgtt-a1-KUGeihKGzgUgHbvrDz6WmifFWdLFMyaukX6lDZY_lw~~&sessionId=,7-9K·14薪,同步投资,广州,1-3年,大专,SQL Python Tableau Navicat,已上市,1000-9999人,生活服务,交通补助 通讯补贴 员工旅游 带薪年假 全勤奖 年终奖 定期体检 五险一金
数据分析,https://www.zhipin.com/job_detail/bb038d37faf2c4171HR-2N28E1VU.html?lid=584LjSKRAgW.search.35&securityId=Qq7m1hwYIXicZ-T1-guh9IzCX6BednzOtQ7XfVcyjzHw3-42SxhKEQMhmQ-1FghObYCtRtUfN9JMZSvVyWUCJ_AInc2bl_u24NDqaJY0BheHqxio1gYu&sessionId=,4-6K,引爆传媒,广州,1-3年,大专,R 计算机相关专业 SQL Python 数学/统计相关专业,不需要融资,20-99人,电子商务,五险一金 年终奖 加班补助 带薪年假 团建聚餐
数据分析师,https://www.zhipin.com/job_detail/6b473088a8d04ae41nVy39-5F1FR.html?lid=584LjSKRAgW.search.36&securityId=Sz8lwpJGmGGAf-j1ZKabM8frEXPTmaRv5AmajO-enK0sDoURRMUSP4oPEN-SlGW1JU6KmHjuSp9Ux7RredyYMXdOgNFnZDh_TzNOsVVfr5LlUooZ0Q~~&sessionId=,5-8K,爱莲化妆品,广州,1-3年,大专,Excel SPSS Python SQL,天使轮,20-99人,电子商务,餐补 通讯补贴 包吃 节日福利 保底工资 绩效奖金
跨境运营数据分析师,https://www.zhipin.com/job_detail/30740a49167b807a1Xx509i9GVNX.html?lid=584LjSKRAgW.search.37&securityId=dji2AlRoE2spo-O1R18nqEafRlMEy5y4PX3kRSGWH8-h92OFtyI11L4Aapfv37hrp6D2B62OblPSAkr9tiIVtZYzR3nKzwzdoA4A2XC05R7zi7-IWyt4&sessionId=,6-10K,默妍,广州,1-3年,大专,数据分析/挖掘经验 电商/零售行业数据相关经验 跨境 数据分析 女装,,0-20人,服装/纺织/皮革,
temu销量数据分析师,https://www.zhipin.com/job_detail/8d54bb349f8a664e1HR70ti5FFVT.html?lid=584LjSKRAgW.search.38&securityId=me65sD2npDwdY-n1Xmt6y8TEQmP7RBXCyrAjKQa1dAXtbbOlEDeQGlpieGk9BLpY4LZvkGHlhFhPUsOETImMU-HpKEjkA1vOCk8diPtcEjmpqCQ0jw~~&sessionId=,6-9K,雅尚依服饰有限公司,广州,1-3年,大专,数学/统计相关专业 数据分析/挖掘经验 电商/零售行业数据相关经验,未融资,20-99人,电子商务,年终奖 餐补 住房补贴
数据分析师（电商）,https://www.zhipin.com/job_detail/373d0301687bca481Xdz0t6-FFtV.html?lid=584LjSKRAgW.search.39&securityId=_Cx9sIYOaj3FB--1Ym1mvJnGGOCEj3aWUABbGPWdYFAgJO21uqw1LbOHeT5wwRZ1DRMxrkMjEGvrnS1AWbmio8UkPtBWNkHuVuSULjH24UCfsczrSA~~&sessionId=,9-14K,藤原创意,广州,1-3年,大专,Python SQL Tableau 数学/统计相关专业 数据分析/挖掘经验 经济/工商管理相关专业 电商数据分析 业务数据运营,未融资,100-499人,文化/体育/娱乐,五险一金 加班补助 全勤奖 年终奖 员工旅游 餐补 包吃 住房补贴
AI数据分析专员,https://www.zhipin.com/job_detail/7c8f51d4d5ca24411HR_0t28FVRR.html?lid=584LjSKRAgW.search.40&securityId=2avIlnOB9rwvr-S1BXhAVCDw4elp7-JjHC1xnXaC1xmot418PAYq-rFFmZ5t7wR1fO08VKz3CWZ6I-P3EZ8F6DiZ9RX7pLerCWgJrwL7DHBimZR3kw~~&sessionId=,10-15K,娇联集团,广州,3-5年,大专,数据分析/挖掘经验 ai工具 AIGC 营销,不需要融资,1000-9999人,日化,五险一金 加班补助 年终奖 带薪年假 员工旅游 餐补 通讯补贴 交通补助 节日福利 住房补贴
数据分析师,https://www.zhipin.com/job_detail/8c712fe7f23cfdd31HR529S1EVdX.html?lid=584LjSKRAgW.search.41&securityId=6on4qD34eI4pN-p1IYpua6kgX8GNxMmC-cwaIWZxTZhWUsjjQn50eeb1AjqgMWZ2MjYFud9MYApJIB-N9FCtAe1qp64j8UTCA9BTT_BY2YIFm4tWXUIZ&sessionId=,10-15K,冠尚玉文化,广州,3-5年,大专,Python SQL Power BI,未融资,100-499人,电子商务,交通补助 生日福利 节日福利 宿舍有空调 包住 团建聚餐 零食下午茶 包吃 员工旅游 带薪年假 全勤奖 工龄奖 夜班补助 底薪加提成 保底工资 绩效奖金 年终奖 五险一金
数据分析师（呼叫中心/客服行业）,https://www.zhipin.com/job_detail/054d3b09c4b35b211XJ83N69FVRX.html?lid=584LjSKRAgW.search.42&securityId=fAze9OCMrsjo_-s1B1BAZk3_AYhl3hdfAb0jqkCyG5tG08O4tLrzW4kIuCGEvYNTpXLXIvbM4J0aDQSQuvxaymAjnsknmp3LnOY_wkOHGVMlVdDNwIc~&sessionId=,8-12K,才卓企业管理咨询...,广州,3-5年,大专,Python SQL SPSS 客服呼叫中心工作经验 独立撰写数据分析报告,不需要融资,20-99人,培训机构,五险一金 全勤奖 带薪年假 员工旅游 节日福利
数据分析师,https://www.zhipin.com/job_detail/d9e9ca084b317cd11XZ83ti8GFpY.html?lid=584LjSKRAgW.search.43&securityId=Qh8w2FKiEy855-L1iAZFfFDzfMG8-EciE4eVgREw7jdgvWQefU1vsXd-1L3MXlVozsY6gs9ALjirwPWACTc9MLfyGC8wya330esPVX0thHcPQcraJg~~&sessionId=,4-7K,广州驰聘贸易有限公司,广州,1年以内,大专,Excel Python,未融资,500-999人,电子商务,住房补贴 节日福利 包吃 餐补 员工旅游 带薪年假 年终奖 全勤奖 加班补助
数据分析师,https://www.zhipin.com/job_detail/5257c60db54e4d4b1HR73924ElFR.html?lid=584LjSKRAgW.search.44&securityId=Czl6v8YIO8CbS-31tQH8-teLWtNhRxuvGaPOzf7Bgf3yFWAS6oUBL0tbaPJ_GXmSonuYO2ieMuV1-5st_lkd1ZysKQwpvNkyH1x7VF6CnveRyrsv&sessionId=,8-12K,DataXgroup,广州,1-3年,本科,SQL 数学/统计相关专业 数据分析/挖掘经验 电商/零售行业数据相关经验 沟通表达 团队协作 快消零售,未融资,100-499人,数据服务,五险一金 定期体检 年终奖 股票期权 带薪年假 员工旅游
数据分析师,https://www.zhipin.com/job_detail/bf1435fc02fee49a1Xx-3tW8GVFX.html?lid=584LjSKRAgW.search.45&securityId=O8pcsUPVCgeEr-j1Xa0TwbGjmqoVTN1lQXNQEwKlGxCPaSqeYkI7uTChUyhRZ1PaFBMV3PCT1MuiK4V-l_yKDAdIZEVw3z7Q0jP9CrndghHnLRYO8A~~&sessionId=,12-18K·14薪,宝洁,广州,经验不限,本科,SQL Python,已上市,10000人以上,日化,五险一金 补充医疗保险 加班补助 年终奖 股票期权 带薪年假 通讯补贴 节日福利
亚马逊数据分析师,https://www.zhipin.com/job_detail/ceabc660d36919451X182t68E1NU.html?lid=584LjSKRAgW.search.46&securityId=NubES1NEsIV7z-b1vZVmKTUN08N86JTNJsDeVW5_smv9Q6UYennm7nhBjVoZswJH0VaVim-FKhKpGxdCxZ9ZqjRhqmkwmgwmjBcMd6U13RTFaSLWN66B&sessionId=,8-13K,广州奥帆网络科技,广州,1-3年,大专,电商/零售行业数据相关经验 跨境电商 亚马逊 产品开发,未融资,20-99人,电子商务,团建聚餐 零食下午茶 带薪年假 节假日加班费 底薪加提成 保底工资 绩效奖金 年终奖 五险一金
